"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2005 Municipal Election","NORTHUMBERLAND","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","6,872","5,195","","","","","","","","",""
"2005 Municipal Election","NORTHUMBERLAND","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","6,375","5,458","","","","","","","","",""
"2005 Municipal Election","NORTHUMBERLAND","Judge of the Court of Common Pleas (Retention)","8th Judicial District (Northumberland County)","","SACAVAGE                 , ROBERT           B.","","7,976","5,030","","","","","","","","",""
"2005 Municipal Election","PERRY","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","2,123","6,182","","","","","","","","",""
"2005 Municipal Election","PERRY","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","1,714","6,492","","","","","","","","",""
"2005 Municipal Election","PERRY","Judge of the Court of Common Pleas","41st Judicial District (Juniata & Perry Counties)","Democratic / Republican","MORROW, KATHY A. KATE","8,258","0","0","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","55,666","15,294","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","49,946","16,950","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Judge of the Court of Common Pleas (Retention)","1st Judicial District (Philadelphia County)","","BERRY                    , WILLIS           W.","","49,925","11,524","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Judge of the Court of Common Pleas (Retention)","1st Judicial District (Philadelphia County)","","BRIGHT                   , GWENDOLYN        N.","","47,656","10,951","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Judge of the Court of Common Pleas (Retention)","1st Judicial District (Philadelphia County)","","CARRAFIELLO              , MATTHEW          D.","","45,926","10,490","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Judge of the Court of Common Pleas (Retention)","1st Judicial District (Philadelphia County)","","COOPERMAN                , AMANDA","","44,112","9,598","","","","","","","","",""
"2005 Municipal Election","PHILADELPHIA","Judge of the Court of Common Pleas (Retention)","1st Judicial District (Philadelphia County)","","FOX                      , IDEE             C.","","46,741","11,600","","","","","","","","",""
